time_utc,18_evening,12_evening,6_evening,18_morning,12_morning,6_morning
2024-10-10,2460593.7192379846,2460593.701519131,2460593.68376534,2460594.126449741,2460594.144183287,2460594.161954398
2024-10-11,2460594.7187024625,2460594.7009786423,2460594.6832155385,2460595.126626142,2460595.144364839,2460595.1621457716
2024-10-12,2460595.71817604,2460595.700446223,2460595.6826731605,2460596.1268045455,2460596.144549382,2460596.162340863
2024-10-13,2460596.717658983,2460596.6999222822,2460596.6821384965,2460597.126985132,2460597.1447369945,2460597.162539825
2024-10-14,2460597.7171515636,2460597.6994071063,2460597.6816118443,2460598.127168094,2460598.1449278533,2460598.162742819
2024-10-15,2460598.716654059,2460598.6989009874,2460598.681093313,2460599.1273536365,2460599.1451221495,2460599.162950022
2024-10-16,2460599.7161667487,2460599.6984042227,2460599.680582686,2460600.1275419784,2460600.1453200844,2460600.163161618
2024-10-17,2460600.715689915,2460600.6979171108,2460600.680080935,2460601.127733344,2460601.145521867,2460601.1633777996
2024-10-18,2460601.715223842,2460601.6974399523,2460601.6795883784,2460602.1279279618,2460602.145727707,2460602.163598759
2024-10-19,2460602.7147688083,2460602.6969730463,2460602.679105333,2460603.1281260503,2460603.1459378055,2460603.1638246784
2024-10-20,2460603.7143245935,2460603.696516686,2460603.6786321113,2460604.128327815,2460604.1461523473,2460604.1640557237
2024-10-21,2460604.713891904,2460604.6960711568,2460604.678169017,2460605.1285334406,2460605.1463714987,2460605.1642920393
2024-10-22,2460605.713471,2460605.695636731,2460605.6777163455,2460606.128743094,2460606.1465954036,2460606.1645339984
2024-10-23,2460606.713062125,2460606.69521367,2460606.6772743785,2460607.1289569223,2460607.1468241885,2460607.1647818247
2024-10-24,2460607.712665505,2460607.694802218,2460607.676843384,2460608.1291750567,2460608.1470579603,2460608.165035283
2024-10-25,2460608.7122813533,2460608.69440215,2460608.676423618,2460609.1293976116,2460609.1472968096,2460609.1652944405
2024-10-26,2460609.711909869,2460609.694013783,2460609.676015325,2460610.1296246895,2460610.147540814,2460610.165559349
2024-10-27,2460610.7115512383,2460610.693637661,2460610.675618737,2460611.1298563783,2460611.147790036,2460611.1658300455
2024-10-28,2460611.7112056348,2460611.6932739853,2460611.6752340775,2460612.1300927554,2460612.148044527,2460612.1661065537
2024-10-29,2460612.7108732206,2460612.692922944,2460612.674861558,2460613.1303338865,2460613.1483043237,2460613.1663888823
2024-10-30,2460613.7105541453,2460613.692584715,2460613.6745013795,2460614.1305798236,2460614.1485694502,2460614.166677027
2024-10-31,2460614.710248547,2460614.6922594644,2460614.674152683,2460615.1308306083,2460615.1488399194,2460615.166970969
2024-11-01,2460615.709956552,2460615.691947347,2460615.6738166804,2460616.1310867113,2460616.149115729,2460616.167270677
2024-11-02,2460616.709678274,2460616.691648508,2460616.6734935613,2460617.131347832,2460617.149396867,2460617.1675761067
2024-11-03,2460617.709413818,2460617.6913630823,2460617.673183491,2460618.131613893,2460618.1496833093,2460618.1678871997
2024-11-04,2460618.709163278,2460618.6910911957,2460618.6728866277,2460619.1318848915,2460619.14997502,2460619.1682038875
2024-11-05,2460619.7089267382,2460619.690832964,2460619.6726031206,2460620.1321608145,2460620.1502719535,2460620.1685260898
2024-11-06,2460620.7087042765,2460620.6905884985,2460620.6723331134,2460621.132441642,2460621.1505740574,2460621.168853718
2024-11-07,2460621.7084959624,2460621.6903579026,2460621.6720767436,2460622.1327273482,2460622.1508812704,2460622.169186675
2024-11-08,2460622.708301862,2460622.690141274,2460622.6718341447,2460623.1330179013,2460623.1511940937,2460623.1695248587
2024-11-09,2460623.708122035,2460623.6899387096,2460623.6716054482,2460624.1333132694,2460624.151512312,2460624.1698681638
2024-11-10,2460624.707956295,2460624.6897503017,2460624.6713907816,2460625.133613419,2460625.151835482,2460625.170216484
2024-11-11,2460625.7078047963,2460625.6895761415,2460625.671190274,2460626.13391832,2460626.152163537,2460626.1705697146
2024-11-12,2460626.7076677666,2460626.6894163215,2460626.6710040527,2460627.134227948,2460627.152496416,2460627.1709277574
2024-11-13,2460627.7075452665,2460627.689270934,2460627.670832247,2460628.1345422845,2460628.152834062,2460628.171291128
2024-11-14,2460628.707437354,2460628.6891400716,2460628.6706749867,2460629.134861315,2460629.153176424,2460629.1716600386
2024-11-15,2460629.7073440882,2460629.689023826,2460629.6705323993,2460630.1351850247,2460630.153523449,2460630.172033538
2024-11-16,2460630.707265522,2460630.6889222832,2460630.670404609,2460631.13551339,2460631.1538750753,2460631.172411526
2024-11-17,2460631.7072016997,2460631.688835524,2460631.670291733,2460632.135846373,2460632.1542312265,2460632.1727938843
