,time_utc,18_evening,12_evening,6_evening,18_morning,12_morning,6_morning
2024-10-18,2024-10-18,2460601.715223785,2460601.6974398973,2460601.6795883253,2460602.127927897,2460602.1457276405,2460602.1635986906
2024-10-19,2024-10-19,2460602.7147687515,2460602.696972991,2460602.67910528,2460603.1281259847,2460603.145937738,2460603.1638246095
2024-10-20,2024-10-20,2460603.7143245363,2460603.696516631,2460603.6786320577,2460604.1283277487,2460604.1461522793,2460604.164055654
2024-10-21,2024-10-21,2460604.713891847,2460604.696071102,2460604.6781689646,2460605.128533374,2460605.1463714303,2460605.164291969
2024-10-22,2024-10-22,2460605.713470944,2460605.695636677,2460605.6777162934,2460606.1287430273,2460606.1465953356,2460606.1645339285
2024-10-23,2024-10-23,2460606.7130620694,2460606.6952136164,2460606.677274327,2460607.128956856,2460607.1468241205,2460607.164781755
2024-10-24,2024-10-24,2460607.7126654503,2460607.6948021655,2460607.676843333,2460608.1291749906,2460608.147057892,2460608.165035213
2024-10-25,2024-10-25,2460608.7122812998,2460608.694402098,2460608.676423568,2460609.1293975455,2460609.1472967416,2460609.1652943706
2024-10-26,2024-10-26,2460609.711909816,2460609.6940137316,2460609.6760152755,2460610.1296246233,2460610.1475407463,2460610.1655592797
2024-10-27,2024-10-27,2460610.711551186,2460610.693637611,2460610.675618689,2460611.129856313,2460611.147789969,2460611.1658299766
2024-10-28,2024-10-28,2460611.711205584,2460611.693273936,2460611.6752340305,2460612.1300926907,2460612.1480444605,2460612.166106485
2024-10-29,2024-10-29,2460612.7108731703,2460612.692922896,2460612.674861511,2460613.1303338218,2460613.148304257,2460613.1663888134
2024-10-30,2024-10-30,2460613.710554096,2460613.6925846674,2460613.6745013334,2460614.130579759,2460614.1485693837,2460614.166676958
2024-10-31,2024-10-31,2460614.7102484987,2460614.6922594174,2460614.674152638,2460615.130830544,2460615.148839853,2460615.166970901
2024-11-01,2024-11-01,2460615.7099565044,2460615.691947301,2460615.673816636,2460616.1310866475,2460616.1491156635,2460616.16727061
2024-11-02,2024-11-02,2460616.709678228,2460616.6916484637,2460616.6734935185,2460617.1313477694,2460617.149396803,2460617.1675760406
2024-11-03,2024-11-03,2460617.709413774,2460617.6913630404,2460617.6731834505,2460618.131613832,2460618.149683247,2460618.1678871354
2024-11-04,2024-11-04,2460618.7091632364,2460618.6910911556,2460618.6728865895,2460619.131884833,2460619.14997496,2460619.1682038256
2024-11-05,2024-11-05,2460619.7089266996,2460619.6908329274,2460619.6726030856,2460620.1321607586,2460620.1502718963,2460620.1685260306
2024-11-06,2024-11-06,2460620.708704241,2460620.690588465,2460620.6723330813,2460621.132441589,2460621.150574003,2460621.1688536615
2024-11-07,2024-11-07,2460621.708495931,2460621.6903578723,2460621.672076715,2460622.1327272984,2460622.150881219,2460622.169186622
2024-11-08,2024-11-08,2460622.7083018334,2460622.6901412476,2460622.6718341196,2460623.1330178543,2460623.151194045,2460623.1695248084
2024-11-09,2024-11-09,2460623.7081220094,2460623.6899386854,2460623.671605426,2460624.133313224,2460624.1515122647,2460624.1698681153
2024-11-10,2024-11-10,2460624.7079562712,2460624.6897502793,2460624.671390761,2460625.1336133745,2460625.1518354365,2460625.1702164365
2024-11-11,2024-11-11,2460625.7078047735,2460625.6895761206,2460625.6711902544,2460626.133918276,2460626.152163492,2460626.1705696676
2024-11-12,2024-11-12,2460626.7076677443,2460626.689416301,2460626.6710040336,2460627.134227904,2460627.1524963705,2460627.1709277104
2024-11-13,2024-11-13,2460627.7075452437,2460627.689270913,2460627.670832228,2460628.1345422394,2460628.1528340154,2460628.17129108
2024-11-14,2024-11-14,2460628.707437331,2460628.68914005,2460628.6706749666,2460629.134861269,2460629.153176376,2460629.171659989
2024-11-15,2024-11-15,2460629.7073440636,2460629.689023803,2460629.670532378,2460630.135184977,2460630.1535233995,2460630.1720334874
2024-11-16,2024-11-16,2460630.707265496,2460630.688922259,2460630.670404586,2460631.1355133406,2460631.1538750245,2460631.1724114735
2024-11-17,2024-11-17,2460631.7072016723,2460631.6888354984,2460631.670291709,2460632.1358463224,2460632.154231174,2460632.1727938303
2024-11-18,2024-11-18,2460632.707152627,2460632.6887635887,2460632.6701938524,2460633.136183863,2460633.1545917504,2460633.1731804176
2024-11-19,2024-11-19,2460633.7071183757,2460633.6887065833,2460633.6701111086,2460634.1365258815,2460634.154956632,2460634.173571072
