starname,ra,dec,nights_observable
noname_349,319.55056179775283,-84.0,0
noname_350,323.59550561797755,-84.0,0
noname_351,327.64044943820227,-84.0,0
noname_352,331.685393258427,-84.0,0
noname_353,335.7303370786517,-84.0,0
noname_354,339.7752808988764,-84.0,0
noname_355,343.82022471910113,-84.0,0
noname_356,347.86516853932585,-84.0,0
noname_357,351.91011235955057,-84.0,0
noname_358,355.9550561797753,-84.0,0
noname_359,360.0,-84.0,0
noname_360,0.0,-82.0,0
noname_361,4.044943820224719,-82.0,0
noname_362,8.089887640449438,-82.0,0
noname_363,12.134831460674157,-82.0,0
noname_364,16.179775280898877,-82.0,0
noname_365,20.224719101123597,-82.0,0
noname_366,24.269662921348313,-82.0,0
noname_367,28.314606741573034,-82.0,0
noname_368,32.359550561797754,-82.0,0
noname_369,36.40449438202247,-82.0,0
noname_370,40.449438202247194,-82.0,0
noname_371,44.49438202247191,-82.0,0
noname_372,48.53932584269663,-82.0,0
noname_373,52.58426966292135,-82.0,0
noname_374,56.62921348314607,-82.0,0
noname_375,60.67415730337079,-82.0,0
noname_376,64.71910112359551,-82.0,0
noname_377,68.76404494382022,-82.0,0
noname_378,72.80898876404494,-82.0,0
noname_379,76.85393258426967,-82.0,0
noname_380,80.89887640449439,-82.0,0
noname_381,84.9438202247191,-82.0,0
noname_382,88.98876404494382,-82.0,0
noname_383,93.03370786516854,-82.0,0
noname_384,97.07865168539325,-82.0,0
noname_385,101.12359550561798,-82.0,0
noname_386,105.1685393258427,-82.0,0
noname_387,109.21348314606742,-82.0,0
noname_388,113.25842696629213,-82.0,0
noname_389,117.30337078651685,-82.0,0
noname_390,121.34831460674158,-82.0,0
noname_391,125.3932584269663,-82.0,0
noname_392,129.43820224719101,-82.0,0
noname_393,133.48314606741573,-82.0,0
noname_394,137.52808988764045,-82.0,0
noname_395,141.57303370786516,-82.0,0
noname_396,145.61797752808988,-82.0,0
noname_397,149.6629213483146,-82.0,0
noname_398,153.70786516853934,-82.0,0
noname_399,157.75280898876406,-82.0,0
noname_400,161.79775280898878,-82.0,0
noname_401,165.8426966292135,-82.0,0
noname_402,169.8876404494382,-82.0,0
noname_403,173.93258426966293,-82.0,0
noname_404,177.97752808988764,-82.0,0
noname_405,182.02247191011236,-82.0,0
noname_406,186.06741573033707,-82.0,0
noname_407,190.1123595505618,-82.0,0
noname_408,194.1573033707865,-82.0,0
noname_409,198.20224719101125,-82.0,0
noname_410,202.24719101123597,-82.0,0
noname_411,206.2921348314607,-82.0,0
noname_412,210.3370786516854,-82.0,0
noname_413,214.38202247191012,-82.0,0
noname_414,218.42696629213484,-82.0,0
noname_415,222.47191011235955,-82.0,0
noname_416,226.51685393258427,-82.0,0
noname_417,230.56179775280899,-82.0,0
noname_418,234.6067415730337,-82.0,0
noname_419,238.65168539325845,-82.0,0
noname_420,242.69662921348316,-82.0,0
noname_421,246.74157303370788,-82.0,0
noname_422,250.7865168539326,-82.0,0
noname_423,254.8314606741573,-82.0,0
noname_424,258.87640449438203,-82.0,0
noname_425,262.92134831460675,-82.0,0
noname_426,266.96629213483146,-82.0,0
noname_427,271.0112359550562,-82.0,0
noname_428,275.0561797752809,-82.0,0
noname_429,279.1011235955056,-82.0,0
noname_430,283.14606741573033,-82.0,0
noname_431,287.19101123595505,-82.0,0
noname_432,291.23595505617976,-82.0,0
noname_433,295.2808988764045,-82.0,0
noname_434,299.3258426966292,-82.0,0
noname_435,303.37078651685397,-82.0,0
noname_436,307.4157303370787,-82.0,0
noname_437,311.4606741573034,-82.0,0
noname_438,315.5056179775281,-82.0,0
noname_439,319.55056179775283,-82.0,0
noname_440,323.59550561797755,-82.0,0
noname_441,327.64044943820227,-82.0,0
noname_442,331.685393258427,-82.0,0
noname_443,335.7303370786517,-82.0,0
noname_444,339.7752808988764,-82.0,0
noname_445,343.82022471910113,-82.0,0
noname_446,347.86516853932585,-82.0,0
noname_447,351.91011235955057,-82.0,0
noname_448,355.9550561797753,-82.0,0
noname_449,360.0,-82.0,0
noname_450,0.0,-80.0,0
noname_451,4.044943820224719,-80.0,0
noname_452,8.089887640449438,-80.0,0
noname_453,12.134831460674157,-80.0,0
noname_454,16.179775280898877,-80.0,0
noname_455,20.224719101123597,-80.0,0
noname_456,24.269662921348313,-80.0,0
noname_457,28.314606741573034,-80.0,0
noname_458,32.359550561797754,-80.0,0
noname_459,36.40449438202247,-80.0,0
noname_460,40.449438202247194,-80.0,0
noname_461,44.49438202247191,-80.0,0
noname_462,48.53932584269663,-80.0,0
noname_463,52.58426966292135,-80.0,0
noname_464,56.62921348314607,-80.0,0
noname_465,60.67415730337079,-80.0,0
noname_466,64.71910112359551,-80.0,0
noname_467,68.76404494382022,-80.0,0
noname_468,72.80898876404494,-80.0,0
noname_469,76.85393258426967,-80.0,0
noname_470,80.89887640449439,-80.0,0
noname_471,84.9438202247191,-80.0,0
noname_472,88.98876404494382,-80.0,0
noname_473,93.03370786516854,-80.0,0
noname_474,97.07865168539325,-80.0,0
noname_475,101.12359550561798,-80.0,0
noname_476,105.1685393258427,-80.0,0
noname_477,109.21348314606742,-80.0,0
noname_478,113.25842696629213,-80.0,0
noname_479,117.30337078651685,-80.0,0
noname_480,121.34831460674158,-80.0,0
noname_481,125.3932584269663,-80.0,0
noname_482,129.43820224719101,-80.0,0
noname_483,133.48314606741573,-80.0,0
noname_484,137.52808988764045,-80.0,0
noname_485,141.57303370786516,-80.0,0
noname_486,145.61797752808988,-80.0,0
noname_487,149.6629213483146,-80.0,0
noname_488,153.70786516853934,-80.0,0
noname_489,157.75280898876406,-80.0,0
noname_490,161.79775280898878,-80.0,0
noname_491,165.8426966292135,-80.0,0
noname_492,169.8876404494382,-80.0,0
noname_493,173.93258426966293,-80.0,0
noname_494,177.97752808988764,-80.0,0
noname_495,182.02247191011236,-80.0,0
noname_496,186.06741573033707,-80.0,0
noname_497,190.1123595505618,-80.0,0
noname_498,194.1573033707865,-80.0,0
noname_499,198.20224719101125,-80.0,0
noname_500,202.24719101123597,-80.0,0
noname_501,206.2921348314607,-80.0,0
noname_502,210.3370786516854,-80.0,0
noname_503,214.38202247191012,-80.0,0
noname_504,218.42696629213484,-80.0,0
noname_505,222.47191011235955,-80.0,0
noname_506,226.51685393258427,-80.0,0
noname_507,230.56179775280899,-80.0,0
noname_508,234.6067415730337,-80.0,0
noname_509,238.65168539325845,-80.0,0
noname_510,242.69662921348316,-80.0,0
noname_511,246.74157303370788,-80.0,0
noname_512,250.7865168539326,-80.0,0
noname_513,254.8314606741573,-80.0,0
noname_514,258.87640449438203,-80.0,0
noname_515,262.92134831460675,-80.0,0
noname_516,266.96629213483146,-80.0,0
noname_517,271.0112359550562,-80.0,0
noname_518,275.0561797752809,-80.0,0
noname_519,279.1011235955056,-80.0,0
noname_520,283.14606741573033,-80.0,0
noname_521,287.19101123595505,-80.0,0
noname_522,291.23595505617976,-80.0,0
noname_523,295.2808988764045,-80.0,0
noname_524,299.3258426966292,-80.0,0
noname_525,303.37078651685397,-80.0,0
noname_526,307.4157303370787,-80.0,0
noname_527,311.4606741573034,-80.0,0
noname_528,315.5056179775281,-80.0,0
noname_529,319.55056179775283,-80.0,0
noname_530,323.59550561797755,-80.0,0
noname_531,327.64044943820227,-80.0,0
noname_532,331.685393258427,-80.0,0
noname_533,335.7303370786517,-80.0,0
noname_534,339.7752808988764,-80.0,0
noname_535,343.82022471910113,-80.0,0
noname_536,347.86516853932585,-80.0,0
noname_537,351.91011235955057,-80.0,0
noname_538,355.9550561797753,-80.0,0
noname_539,360.0,-80.0,0
noname_540,0.0,-78.0,0
noname_541,4.044943820224719,-78.0,0
noname_542,8.089887640449438,-78.0,0
noname_543,12.134831460674157,-78.0,0
noname_544,16.179775280898877,-78.0,0
noname_545,20.224719101123597,-78.0,0
noname_546,24.269662921348313,-78.0,0
noname_547,28.314606741573034,-78.0,0
noname_548,32.359550561797754,-78.0,0
noname_549,36.40449438202247,-78.0,0
noname_550,40.449438202247194,-78.0,0
noname_551,44.49438202247191,-78.0,0
noname_552,48.53932584269663,-78.0,0
noname_553,52.58426966292135,-78.0,0
noname_554,56.62921348314607,-78.0,0
noname_555,60.67415730337079,-78.0,0
