starname,program_code,ra,dec,vmag,teff,jmag,pmra,pmdec,gaia_id,exptime,n_exp,n_intra_max,n_intra_min,n_inter_max,tau_intra,tau_inter,gmag
109409,LIBR,188.6761597209590,-44.67393782590500,5.6,5721,4.9,-76.82,-206.79,Gaia DR3 6133033601555979648,22,1,1,1,1,0,1,5.6
109718,LIBR,189.16555880459100,25.791177881329300,9.0,5733,7.9,12.37,-83.27,Gaia DR3 3960523728874111744,523,1,1,1,1,0,1,9.0
109749,LIBR,189.31732002702300,-40.8121466377554,8.0,5732,7.1,-157.31,-6.36,Gaia DR3 6147000074988843264,240,1,1,1,1,0,1,8.0
109929,LIBR,189.60599982709100,14.87238302719680,7.5,5958,6.6,-39.58,-6.94,Gaia DR3 3932653308132999680,128,1,1,1,1,0,1,7.5
110044,LIBR,189.81196815088600,29.23439604985720,8.8,5125,7.4,150.63,-231.88,Gaia DR3 4011052713441556864,413,1,1,1,1,0,1,8.8
110463,LIBR,190.4364785040680,55.72465035067810,8.0,4817,6.6,122.77,-5.06,Gaia DR3 1571411233756646656,243,1,1,1,1,0,1,8.0
110897,LIBR,191.2454554246110,39.27953401498870,5.8,5841,5.2,-359.7,139.02,Gaia DR3 1521686782461765888,27,1,1,1,1,0,1,5.8
111814,LIBR,192.93992047284600,19.228890189774100,8.0,5568,6.9,16.71,12.45,Gaia DR3 3941988058774148992,223,1,1,1,1,0,1,8.0
112415,LIBR,194.08741914656500,6.892653231437190,8.6,5524,7.5,-170.17,-105.23,Gaia DR3 3706441984858459520,345,1,1,1,1,0,1,8.6
112973,LIBR,195.0307693128270,34.919356072614400,7.4,4960,5.9,-76.68,1.32,Gaia DR3 1516114801129032576,119,1,1,1,1,0,1,7.4
112988,LIBR,195.04245375701900,34.99842144422120,7.5,4852,6.0,-81.39,3.1,Gaia DR3 1516116244238077184,140,1,1,1,1,0,1,7.5
BD+31_2447,LIBR,195.98183545376400,30.64014724332240,10.2,6204,9.3,-4.96,15.72,Gaia DR3 1464700950221781504,1546,1,1,1,1,0,1,10.2
114161,LIBR,197.2399761304830,-13.44120953060340,7.8,4946,6.2,-37.38,-5.75,Gaia DR3 3621107066360111104,202,1,1,1,1,0,1,7.8
114659,LIBR,197.9529478234480,12.730398637439900,8.0,5182,6.6,-5.36,-8.86,Gaia DR3 3736818845433590272,261,1,1,1,1,0,1,8.0
115404A,LIBR,199.21567170723300,17.016001701567000,6.3,4876,4.9,636.28,-264.68,Gaia DR3 3936909723803146368,53,1,1,1,1,0,1,6.3
116956,LIBR,201.43794348796400,56.9705435695222,7.1,5359,5.8,-217.47,11.24,Gaia DR3 1565867461768654208,78,1,1,1,1,0,1,7.1
117122,LIBR,201.86556986720000,44.70731108665350,8.3,5661,7.2,82.28,62.85,Gaia DR3 1550110429352044032,295,1,1,1,1,0,1,8.3
117497,LIBR,202.5701706819240,28.56791144934920,8.6,6262,7.8,-18.52,-2.84,Gaia DR3 1449829299540652160,406,1,1,1,1,0,1,8.6
117762,LIBR,203.07286410048000,6.353984801138340,7.7,5740,6.4,-41.41,79.53,Gaia DR3 3717992732464790784,176,1,1,1,1,0,1,7.7
118082,LIBR,203.67500514026000,-9.106794238047380,7.8,4787,6.3,9.08,-6.97,Gaia DR3 3618013006279764352,197,1,1,1,1,0,1,7.8
118744,LIBR,204.68053805190400,9.980821827662660,7.6,5033,6.1,6.66,0.6,Gaia DR3 3725876265195552384,159,1,1,1,1,0,1,7.6
120064,LIBR,206.68042343393400,25.70197482309440,5.8,6262,5.1,-18.37,-59.1,Gaia DR3 1444522300510441984,28,1,1,1,1,0,1,5.8
120528,LIBR,207.16883255682,53.26112288467880,8.4,5645,7.3,99.16,-44.64,Gaia DR3 1560955840248898048,330,1,1,1,1,0,1,8.4
WASP15,LIBR,208.9280125385070,-32.159714851030600,10.8,6371,10.0,8.72,-22.33,Gaia DR3 6171009049549197824,2948,1,1,1,1,0,1,10.8
121550,LIBR,209.1116790125580,-16.196196360796700,9.1,5270,7.9,-227.73,4.0,Gaia DR3 6294867625668161536,657,1,1,1,1,0,1,9.1
122253,LIBR,209.9230281839980,42.0499330809867,7.6,4982,6.2,4.59,28.53,Gaia DR3 1498814260545232384,148,1,1,1,1,0,1,7.6
HIP68461,LIBR,210.23298901601500,39.23916894617560,8.8,5677,7.7,18.37,-7.88,Gaia DR3 1496032874084336896,465,1,1,1,1,0,1,8.8
122386,LIBR,210.33160352381000,13.732828991329900,6.9,5723,5.5,-33.17,33.36,Gaia DR3 1229899997295423872,81,1,1,1,1,0,1,6.9
122973,LIBR,211.29407190512300,-9.04853215597608,7.9,5838,7.5,-104.84,-5.62,Gaia DR3 3615871020189864832,214,1,1,1,1,0,1,7.9
123239,LIBR,211.68785308037900,-14.095152154012500,8.1,4794,6.5,8.65,25.54,Gaia DR3 6301513005226843520,276,1,1,1,1,0,1,8.1
124257B,LIBR,212.74813193514200,50.252225818098600,9.7,5855,8.6,-179.86,145.49,Gaia DR3 1511593059561179776,900,1,1,1,1,0,1,9.7
125390,LIBR,214.5387437850640,38.96691101286470,8.0,4876,6.4,-14.24,-15.82,Gaia DR3 1484890423248544256,333,1,1,1,1,0,1,8.0
